epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,9903.57,1.16656,1.95624,1.56515,0.01378,1.46978,0.60408,0.60313,0.61739,0.42526,0.59528,0.59602,0.59964,0.36668,1.23468,2.20028,1.46685,0.02028,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,10054.7,1.18383,1.97521,1.56039,0.01384,1.48098,0.62104,0.59835,0.61176,0.4173,0.59458,0.606,0.59634,0.36669,1.25701,2.16075,1.46479,0.02051,0,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,10205.1,1.16846,1.97684,1.5854,0.01348,1.49419,0.60911,0.6157,0.63077,0.43056,0.61795,0.60796,0.61781,0.37554,1.24549,2.1673,1.43651,0.02032,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,10355.9,1.16301,1.93546,1.5588,0.0135,1.45663,0.606,0.59493,0.61449,0.42581,0.59429,0.60315,0.6052,0.37061,1.25282,2.15379,1.44412,0.02042,0,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,10506.6,1.17605,1.95259,1.5461,0.01376,1.45143,0.58848,0.61111,0.61067,0.41627,0.5823,0.60529,0.59874,0.36242,1.26936,2.15901,1.45281,0.02079,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,10657.8,1.17504,1.95517,1.53972,0.01386,1.46154,0.61945,0.60582,0.61892,0.42233,0.60754,0.60013,0.6061,0.36209,1.26501,2.21313,1.44083,0.0208,0,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
71,10808.2,1.16273,1.93345,1.54769,0.01374,1.45087,0.63679,0.6089,0.62805,0.42504,0.63711,0.60583,0.62122,0.36933,1.26753,2.1581,1.45174,0.02079,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,10958.4,1.15412,1.92159,1.52115,0.0137,1.44158,0.60153,0.60009,0.61628,0.42314,0.59786,0.59649,0.60083,0.36187,1.24459,2.1971,1.44979,0.02065,0,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,11109.3,1.14964,1.92106,1.51963,0.01348,1.39897,0.62259,0.59195,0.62662,0.43289,0.61969,0.59028,0.61411,0.37617,1.23679,2.18093,1.43976,0.02022,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
74,11259.4,1.13846,1.90465,1.50818,0.01339,1.42954,0.61559,0.62746,0.63667,0.43878,0.61939,0.60273,0.62555,0.3782,1.22768,2.14552,1.41848,0.01996,0,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,11409.1,1.15201,1.89595,1.51431,0.0135,1.42398,0.60652,0.62734,0.63458,0.43688,0.61714,0.61021,0.61856,0.37732,1.23069,2.16015,1.41597,0.02025,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
